folder,slug,bucket,candidate_tags,signals,status,contributed,target_skill
ptcl-1095-1,PTCL-1095-1,reagent-distribution,"purification,new:washing",modules=module_name; pipettes=_multi,nothing-new,-,family-reagent-distribution
bca_protein_assay,bca_protein_assay,protein-assay,"protein-assay,purification,serial-dilution,plate-reformatting",modules=heatershakermodulev1|temperature module gen2; pipettes=flex_8channel,nothing-new,-,family-protein-assay
macherey-nagel-nucleomag-virus,macherey-nagel-nucleomag-virus,bead-cleanup,"bead-cleanup,simple-transfer,new:washing",modules=magnetic module gen2; pipettes=_multi|_single,nothing-new,-,family-bead-cleanup-ampure
od-normalization-with-96-ch-pipette,od-normalization-with-96-ch-pipette,normalization,"pcr-setup,normalization,cell-seeding,simple-transfer,new:absorbance-read",modules=module_name|temperature module gen2|thermocyclermodulev2; pipettes=96-channel|flex_96channel,nothing-new,-,family-normalize-to-target
transient_transfection_of_a549cells_protocol_2,transient_transfection_of_A549cells_Protocol_2,cell-seeding,"pcr-setup,cell-seeding,plate-reformatting,simple-transfer,new:absorbance-read,new:blood-clinical",modules=heatershakermodulev1; pipettes=_single,out-of-scope,complex multi-reagent transfection mix preparation with incubation/mixing steps beyond simple seeding,family-cell-seeding
ptcl-1109,PTCL-1109,bead-cleanup,"bead-cleanup,purification,simple-transfer,new:washing",modules=heatershakermodulev1|magneticblockv1|temperature module gen2; pipettes=96channel|flex_96channel,nothing-new,-,family-bead-cleanup-ampure
006uv00000bemutyat_p2,006UV00000BEmuTYAT_p2,ngs-library-prep,"ngs-library-prep,pcr-setup,bead-cleanup,purification,simple-transfer,new:washing",-,nothing-new,-,family-ngs-library-prep
96-partial-tip-test,96-partial-tip-test,new-family-candidate,unclassified,pipettes=96-channel|flex_96channel,pending,-,
pacbio_kinnex_pcr,pacbio_kinnex_pcr,ngs-library-prep,"ngs-library-prep,pcr-setup,pooling,reagent-distribution,simple-transfer",modules=module_name; pipettes=_multi|_single,nothing-new,-,family-ngs-library-prep
blood,blood,plate-reformatting,"reagent-distribution,plate-reformatting,simple-transfer,new:blood-clinical",-,nothing-new,-,family-plate-reformatting
sci-lucif-assay3,sci-lucif-assay3,cell-seeding,"serial-dilution,cell-seeding,simple-transfer,new:absorbance-read,new:washing",pipettes=_multi,amended,"adds supernatant removal to waste, PBS wash cycle, and compound treatment dispensing with multi-liquid-class handling",family-cell-seeding
zymo_magbead_dna_ot2,Zymo_Magbead_DNA_OT2,bead-cleanup,"bead-cleanup,reagent-distribution,simple-transfer,new:washing",modules=heatershakermodulev1|magnetic module gen1|magnetic module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
protein_quant_normal,protein_quant_normal,normalization,"protein-assay,normalization,new:absorbance-read",-,nothing-new,-,family-normalize-to-target
ptcl-1155-1,PTCl-1155-1,ngs-library-prep,"pcr-setup,bead-cleanup,purification,reagent-distribution,simple-transfer,new:washing",modules=heatershakermodulev1|magneticblockv1|temperaturemodulev2|thermocyclermodulev2,nothing-new,-,family-ngs-library-prep
lb-distribution-for-sterile-transfer,lb-distribution-for-sterile-transfer,reagent-distribution,"reagent-distribution,simple-transfer,new:colony-agar",modules=module_name; pipettes=_single,nothing-new,-,family-reagent-distribution
cherrypickingflex_v3,cherrypickingflex_v3,cherrypicking,"cherrypicking,reagent-distribution,simple-transfer",pipettes=_single,nothing-new,-,family-cherrypicking
evotips_96ch_2,evotips_96ch_2,purification,"purification,simple-transfer,new:washing",pipettes=96-channel,out-of-scope,requires direct plunger actuation and custom resin-tip adapters not in approved whitelist,family-purification
zymo-quick-dna-fecal-microbe-96-full-plate,zymo-quick-dna-fecal-microbe-96-full-plate,bead-cleanup,"pcr-setup,bead-cleanup,simple-transfer,new:washing",modules=magneticblockv1|module_name|thermocyclermodulev2; pipettes=96-channel|flex_96channel,nothing-new,-,family-bead-cleanup-ampure
cherrypicking-sick-kids,cherrypicking-sick-kids,cherrypicking,cherrypicking,modules=temperature module gen2; pipettes=_single,amended,adds in-tip dilution aspiration sequence and post-dispense destination mixing,family-cherrypicking
pcr_prep_part_2,pcr_prep_part_2,pcr-setup,"pcr-setup,reagent-distribution,simple-transfer",-,nothing-new,-,family-pcr-setup
colony-pcr-prep,colony-pcr-prep,pcr-setup,"pcr-setup,reagent-distribution,simple-transfer,new:colony-agar",modules=module_name; pipettes=_single,nothing-new,-,family-pcr-setup
3e0bef,3e0bef,bead-cleanup,"bead-cleanup,simple-transfer,new:washing",modules=magnetic module gen2; pipettes=_multi,nothing-new,-,family-bead-cleanup-ampure
